start;stop;parameter;depth;comments
20230609 00:20:00;20230613 10:40:00;All;All;No data coming. Reboot and increase input voltage
20230706 00:10:00;20230807 12:20:00;All;13,16,22;Bad data. Upper chain repaired and lower chain reinstalled
20230918 14:20:00;20230920 00:00:00;All;All;No data due to com issue
20231202 17:10:00;20231204 00:00:00;All;All;No data due to com issue
20240101 13:10:00;20240112 00:00:00;All;All;No data due to com issue
20240228 05:20:00;20240228 05:30:00;All;9,21;Sensor failure
20240813 05:40:00;20241009 14:40:00;All;2;Sensor failure
20240927 18:20:00;20241009 14:40:00;All;20;Sensor failure
20241009 11:20:00;20241009 14:40:00;All;All;Chain out of water for cleaning and check
20241009 10:30:00;;All;7,42;Sensor failure
20241011 03:40:00;;All;48;Sensor failure
20241025 11:50:00;;All;20;Sensor failure
20241106 17:30:00;;All;2;Sensor failure
20241130 00:10:00;;All;36;Sensor failure
20241116 23:50:00;;All;60;Sensor failure
20241231 21:40:00;;All;90;Sensor failure
